maximum_hermite_order,maximum_laguerre_order,mode_count,ion_charge,normalized_current,original_sugama_normalized_current,improved_sugama_normalized_current,conductivity_over_ne2_mnu,spitzer_conductivity_over_ne2_mnu,relative_change_from_previous
3,1,8,1.0,0.0009086748368606749,0.0007997801372389968,0.0009091572997798201,1.285060278075526,2.4008435097522827,
3,1,8,2.0,0.0005443859008548066,0.00048594289602212537,0.0005455076446664705,0.7698779241535626,1.2004217548761413,
3,1,8,5.0,0.0002586882123842347,0.00024052154129650284,0.00025927271815322667,0.36584037837983635,0.4801687019504566,
3,1,8,10.0,0.0001396487049577354,0.00013360711916290832,0.0001398737410330667,0.19749309251906827,0.2400843509752283,
3,1,8,100.0,1.514944471665226e-05,1.5067859808886208e-05,1.5152865883563621e-05,0.021424550180711058,0.024008435097522825,
5,2,18,1.0,0.0009178313458739908,0.0008062163865849563,0.0009184961783447441,1.2980095373061489,2.4008435097522827,0.009976243516282176
5,2,18,2.0,0.0005452944733688946,0.0004870600385082619,0.0005461353062558926,0.7711628397253854,1.2004217548761413,0.0016662052495685848
5,2,18,5.0,0.00025946792940051183,0.0002411519002071229,0.00025976462351792105,0.36694306475906857,0.4801687019504566,0.003005061234652961
5,2,18,10.0,0.0001413748228168696,0.00013506142211803447,0.00014146158670641867,0.19993419180571026,0.2400843509752283,0.012209513863512544
5,2,18,100.0,1.5692424276117784e-05,1.5599619396405945e-05,1.5693186839669557e-05,0.022192439237798567,0.024008435097522825,0.03460138152725585
7,3,32,1.0,0.0009235328533747735,0.0008143123274234285,0.0009253680704664261,1.3060726865397279,2.4008435097522827,0.006173583841601587
7,3,32,2.0,0.0005463313034143022,0.0004896024805743436,0.0005473649564033895,0.7726291388374766,1.2004217548761413,0.0018978045719289494
7,3,32,5.0,0.0002594711659756434,0.00024133569239331878,0.0002597086858229382,0.3669476419675152,0.4801687019504566,1.2473737185317478e-05
7,3,32,10.0,0.00014141449076893477,0.00013506188479517795,0.00014146878538765596,0.1999902907615124,0.2400843509752283,0.00028050839662529934
7,3,32,100.0,1.570771196807694e-05,1.5612299355889485e-05,1.5707974455565945e-05,0.02221405929910459,0.024008435097522825,0.0009732602679642336
9,4,50,1.0,0.0009257433667440661,0.0008185831091726814,0.0009273640191199128,1.3091988245263884,2.4008435097522827,0.002387825231810411
9,4,50,2.0,0.0005466031893038481,0.0004907473831551746,0.0005473647605685917,0.7730136435498902,1.2004217548761413,0.0004974099947937892
9,4,50,5.0,0.0002594763785574408,0.0002414013492552284,0.00025961853880587023,0.3669550136713881,0.4801687019504566,2.008884903660201e-05
9,4,50,10.0,0.00014143446202199113,0.00013506261517864354,0.00014146237360365872,0.2000185343784423,0.2400843509752283,0.00014120499891502234
9,4,50,100.0,1.571027666427526e-05,1.5614244433316856e-05,1.5710367317348484e-05,0.022217686327251622,0.024008435097522825,0.00016324958835087932
11,5,72,1.0,0.0009267294306466741,0.0008208599526075163,0.0009277846678843021,1.3105933294708232,2.4008435097522827,0.0010640256691965269
11,5,72,2.0,0.0005466771473814298,0.0004912367204574729,0.0005471242670507275,0.7731182360662534,1.2004217548761413,0.00013528657258859652
11,5,72,5.0,0.0002594857441958151,0.0002414153964729931,0.0002595555923951838,0.36696825868419736,0.4801687019504566,3.609307479817752e-05
11,5,72,10.0,0.00014144737313837366,0.00013506362568854524,0.0001414591921621222,0.20003679345433587,0.2400843509752283,9.127858719514253e-05
11,5,72,100.0,1.571103490030497e-05,1.5614861744315388e-05,1.57110623689832e-05,0.022218758634928316,0.024008435097522825,4.826136753689423e-05
15,5,96,1.0,0.0009272231570306739,0.0008221774885397235,0.0009300050142450635,1.311291564019177,2.4008435097522827,0.0005324784872509903
15,5,96,2.0,0.0005466958060636026,0.0004914461020312897,0.0005477841648349719,0.7731446234276381,1.2004217548761413,3.412991642853657e-05
15,5,96,5.0,0.0002594949727429216,0.00024141685969633316,0.0002596672288854505,0.3669813098206764,0.4801687019504566,3.5563490918394875e-05
15,5,96,10.0,0.00014145432255240384,0.00013506571381343102,0.0001414844834553516,0.2000466214099079,0.2400843509752283,4.912832570108798e-05
15,5,96,100.0,1.571123893031624e-05,1.561506044779563e-05,1.5711303565944225e-05,0.022219047176937384,0.024008435097522825,1.298624584443826e-05
20,5,126,1.0,0.0009273768602690158,0.0008226659490505815,0.0009302257739548412,1.3115089332234209,2.4008435097522827,0.00016573978166475422
20,5,126,2.0,0.0005466972838056322,0.0004914956912246937,0.0005477949737402691,0.773146713270458,1.2004217548761413,2.703035250622219e-06
20,5,126,5.0,0.00025949928534492467,0.0002414172804262807,0.00025966919135535986,0.36698740876091823,0.4801687019504566,1.66189359531995e-05
20,5,126,10.0,0.00014145628566619587,0.0001350670559270275,0.0001414856924524554,0.20004939767205704,0.2400843509752283,1.387788307021246e-05
20,5,126,100.0,1.5711274840494655e-05,1.561510341981078e-05,1.571133639599265e-05,0.022219097961598728,0.024008435097522825,2.2856311012463496e-06
