ky,gamma_ref,omega_ref,gamma,omega,rel_gamma,rel_omega,steps
0.050,0.009824,0.036540,0.028443,0.037875,1.895,0.037,4000
0.100,0.030426,0.079845,0.038360,0.083757,0.261,0.049,4000
0.150,0.054971,0.126847,0.050805,0.127015,-0.076,0.001,2666
0.200,0.075022,0.177868,0.072877,0.184355,-0.029,0.036,2000
0.250,0.088412,0.230438,0.089541,0.234247,0.013,0.017,2000
0.300,0.093030,0.281994,0.093631,0.283222,0.006,0.004,2000
0.350,0.089845,0.330795,0.088144,0.332672,-0.019,0.006,2000
0.400,0.080910,0.374944,0.076900,0.380804,-0.050,0.016,2000
0.450,0.068488,0.415357,0.062982,0.423020,-0.080,0.018,2000
0.500,0.054059,0.455915,0.046711,0.455259,-0.136,-0.001,2000
0.550,0.034603,0.498353,0.026312,0.480869,-0.240,-0.035,2000
