t,heat_flux,wphi,wg
5.0000000745058060e-02,5.6813053106452571e-07,6.2151398196874652e-06,8.0122757935896516e-05
2.5499987602233887e+00,2.6373578293714672e-05,5.5051336858014110e-06,1.7966218001674861e-04
5.0500011444091797e+00,6.0492617194540799e-05,6.0094544096500613e-06,4.7015823656693101e-04
7.5500106811523438e+00,1.3433968706522137e-04,9.3293974714470096e-06,1.0907512623816729e-03
1.0050020217895508e+01,3.1510391272604465e-04,1.8347520381212234e-05,2.4970280937850475e-03
1.2550029754638672e+01,7.8211736399680376e-04,4.1531522583682090e-05,5.9205638244748116e-03
1.5050039291381836e+01,2.0153285004198551e-03,1.0096585901919752e-04,1.4686395414173603e-02
1.7550018310546875e+01,5.3224889561533928e-03,2.5696249213069677e-04,3.7734370678663254e-02
2.0049980163574219e+01,1.4343041926622391e-02,6.7619315814226866e-04,9.9543124437332153e-02
2.2549942016601562e+01,3.9297156035900116e-02,1.8224689410999417e-03,2.6814115047454834e-01
2.5049903869628906e+01,1.0910049080848694e-01,5.0012180581688881e-03,7.3449051380157471e-01
2.7549865722656250e+01,3.0591046810150146e-01,1.3916209340095520e-02,2.0384340286254883e+00
3.0049827575683594e+01,8.6254656314849854e-01,3.9116822183132172e-02,5.7098999023437500e+00
3.2549789428710938e+01,2.4273281097412109e+00,1.1051723361015320e-01,1.6055892944335938e+01
3.5049751281738281e+01,6.7211985588073730e+00,3.1119740009307861e-01,4.4893093109130859e+01
3.7549713134765625e+01,1.7841497421264648e+01,8.6381053924560547e-01,1.2266413879394531e+02
4.0049674987792969e+01,4.2186042785644531e+01,2.4178881645202637e+00,3.1563702392578125e+02
4.2549636840820312e+01,5.6991905212402344e+01,6.6804590225219727e+00,6.3910357666015625e+02
4.5049598693847656e+01,2.5664514541625977e+01,1.0297947883605957e+01,7.9269506835937500e+02
4.7549560546875000e+01,1.9313587188720703e+01,8.4303359985351562e+00,6.4202893066406250e+02
5.0049522399902344e+01,1.5767964363098145e+01,8.0372428894042969e+00,5.0565814208984375e+02
5.2549484252929688e+01,1.3119817733764648e+01,6.2638392448425293e+00,4.0802960205078125e+02
5.5049446105957031e+01,1.3691049575805664e+01,4.9122619628906250e+00,3.4872811889648438e+02
5.7549407958984375e+01,1.5719895362854004e+01,4.3852405548095703e+00,3.2892559814453125e+02
6.0049369812011719e+01,1.7302717208862305e+01,4.5135669708251953e+00,3.3974423217773438e+02
6.2549331665039062e+01,1.7056919097900391e+01,4.4709057807922363e+00,3.5451745605468750e+02
6.5049369812011719e+01,1.7575160980224609e+01,4.5025811195373535e+00,3.6509570312500000e+02
6.7549522399902344e+01,1.6556629180908203e+01,4.5400824546813965e+00,3.6868441772460938e+02
7.0049674987792969e+01,1.7066066741943359e+01,4.6992521286010742e+00,3.6842471313476562e+02
7.2549827575683594e+01,1.7482515335083008e+01,4.6625738143920898e+00,3.7454937744140625e+02
7.5049980163574219e+01,1.7995891571044922e+01,4.6229219436645508e+00,3.8135900878906250e+02
7.7550132751464844e+01,1.8600063323974609e+01,4.9737577438354492e+00,3.9097134399414062e+02
8.0050285339355469e+01,1.7769550323486328e+01,4.9844913482666016e+00,3.9614547729492188e+02
8.2550437927246094e+01,1.7264591217041016e+01,4.9277286529541016e+00,3.9278021240234375e+02
8.5050590515136719e+01,1.6780996322631836e+01,4.9099197387695312e+00,3.8515051269531250e+02
8.7550743103027344e+01,1.5712129592895508e+01,5.0999040603637695e+00,3.7739624023437500e+02
9.0050895690917969e+01,1.4574074745178223e+01,4.9387326240539551e+00,3.6099163818359375e+02
9.2551048278808594e+01,1.3799916267395020e+01,4.5833702087402344e+00,3.4096453857421875e+02
9.5051200866699219e+01,1.4952375411987305e+01,4.3287353515625000e+00,3.2830432128906250e+02
9.7551353454589844e+01,1.5019861221313477e+01,4.3782191276550293e+00,3.2888613891601562e+02
1.0005150604248047e+02,1.5473967552185059e+01,4.2972583770751953e+00,3.3352224731445312e+02
1.0255165863037109e+02,1.6534530639648438e+01,4.2144527435302734e+00,3.4427987670898438e+02
1.0505181121826172e+02,1.6878894805908203e+01,4.3355798721313477e+00,3.6123104858398438e+02
1.0755196380615234e+02,1.8627567291259766e+01,4.6196908950805664e+00,3.8268676757812500e+02
1.1005211639404297e+02,1.8102531433105469e+01,4.6977672576904297e+00,4.0360845947265625e+02
1.1255226898193359e+02,1.7789939880371094e+01,5.0718727111816406e+00,4.1013555908203125e+02
1.1505242156982422e+02,1.9871574401855469e+01,5.3405795097351074e+00,4.1687670898437500e+02
1.1755257415771484e+02,1.8564243316650391e+01,5.6608781814575195e+00,4.2246646118164062e+02
1.2005272674560547e+02,1.7785785675048828e+01,5.7015075683593750e+00,4.1213699340820312e+02
1.2255287933349609e+02,1.7645217895507812e+01,5.5509634017944336e+00,4.0408306884765625e+02
1.2505303192138672e+02,1.5814298629760742e+01,5.6918849945068359e+00,3.8804693603515625e+02
1.2755318450927734e+02,1.4765399932861328e+01,5.3786010742187500e+00,3.6878005981445312e+02
1.3005332946777344e+02,1.4468592643737793e+01,4.6532588005065918e+00,3.5069369506835938e+02
1.3255348205566406e+02,1.6327850341796875e+01,4.6650619506835938e+00,3.4882940673828125e+02
1.3505363464355469e+02,1.6641645431518555e+01,4.5638561248779297e+00,3.5737753295898438e+02
1.3755378723144531e+02,1.7568637847900391e+01,4.8477935791015625e+00,3.7219265747070312e+02
1.4005393981933594e+02,1.7072729110717773e+01,4.6675467491149902e+00,3.8010388183593750e+02
1.4255409240722656e+02,1.6833580017089844e+01,5.0285649299621582e+00,3.8386227416992188e+02
1.4505424499511719e+02,1.4263050079345703e+01,4.8791403770446777e+00,3.7065856933593750e+02
1.4755439758300781e+02,1.4943714141845703e+01,4.7482137680053711e+00,3.5335638427734375e+02
1.5000454711914062e+02,1.4943714141845703e+01,4.7482137680053711e+00,3.5335638427734375e+02
