ky,steps,horizon_t,solver,gamma_gx,gamma,rel_gamma,omega_gx,omega,rel_omega,eig_overlap_gx,eig_rel_l2
0.10000000149011612,400,4.000195174815714,gx_time@project,0.14496771898120642,1.0338335380836368,6.131474133339042,0.6572156604379416,1.2385176665187008,0.884492018485079,0.9914114357242896,0.14837233856697252
0.10000000149011612,400,4.000195174815714,gx_time@project_late,0.14496771898120642,1.2063339619548574,7.321397138843347,0.6572156604379416,1.236844539537095,0.881946237727982,0.9914114357242896,0.14837233856697252
0.10000000149011612,400,4.000195174815714,gx_time@svd,0.14496771898120642,0.8694823245988194,4.9977650935622355,0.6572156604379416,1.068679112947166,0.6260706755451355,0.9914114357242896,0.14837233856697252
0.10000000149011612,400,4.000195174815714,gx_time@svd_late,0.14496771898120642,0.9686240902048252,5.681653660635975,0.6572156604379416,0.9937566825530866,0.5120709112300944,0.9914114357242896,0.14837233856697252
0.10000000149011612,400,4.000195174815714,gx_time@max,0.14496771898120642,0.988103449344635,5.816023983054686,0.6572156604379416,2.481034994125366,2.7750698035285803,0.9914114357242896,0.14837233856697252
0.10000000149011612,400,4.000195174815714,gx_time@z_index,0.14496771898120642,0.988103449344635,5.816023983054686,0.6572156604379416,2.481034994125366,2.7750698035285803,0.9914114357242896,0.14837233856697252
0.10000000149011612,800,8.000390349630932,gx_time@project,0.14496771898120642,0.18350206292063106,0.26581327353588446,0.6572156604379416,0.6735328817278953,0.02482780352355054,0.9862419741000157,0.19640935055557612
0.10000000149011612,800,8.000390349630932,gx_time@project_late,0.14496771898120642,0.4692615860244813,2.237007447743013,0.6572156604379416,0.596936720520128,0.09171866032170645,0.9862419741000157,0.19640935055557612
0.10000000149011612,800,8.000390349630932,gx_time@svd,0.14496771898120642,0.2086896147874002,0.4395592084500872,0.6572156604379416,0.7507301045857702,0.14228882507990517,0.9862419741000157,0.19640935055557612
0.10000000149011612,800,8.000390349630932,gx_time@svd_late,0.14496771898120642,0.3870069766993314,1.6696079611316976,0.6572156604379416,0.6364690382657503,0.03156744950107634,0.9862419741000157,0.19640935055557612
0.10000000149011612,800,8.000390349630932,gx_time@max,0.14496771898120642,-0.608494758605957,5.197450045308654,0.6572156604379416,0.30592405796051025,0.534514960041191,0.9862419741000157,0.19640935055557612
0.10000000149011612,800,8.000390349630932,gx_time@z_index,0.14496771898120642,-0.608494758605957,5.197450045308654,0.6572156604379416,0.30592405796051025,0.534514960041191,0.9862419741000157,0.19640935055557612
0.20000000298023224,400,4.000448611845486,gx_time@project,0.26279708091169596,0.9326926726575717,2.5490982982835013,0.8891330659389496,0.9838982711265728,0.10658157796386583,0.9748747921718797,0.29523569291122626
0.20000000298023224,400,4.000448611845486,gx_time@project_late,0.26279708091169596,0.6307687756551522,1.4002122606038407,0.8891330659389496,0.9088824931084529,0.022212003946391747,0.9748747921718797,0.29523569291122626
0.20000000298023224,400,4.000448611845486,gx_time@svd,0.26279708091169596,0.7751621174464876,1.9496603035212345,0.8891330659389496,0.9104288417110588,0.023951168377277964,0.9748747921718797,0.29523569291122626
0.20000000298023224,400,4.000448611845486,gx_time@svd_late,0.26279708091169596,0.5856300343664295,1.228449541124129,0.8891330659389496,0.8146748381131155,0.08374250230723804,0.9748747921718797,0.29523569291122626
0.20000000298023224,400,4.000448611845486,gx_time@max,0.26279708091169596,-1.8967186212539673,8.217426520393106,0.8891330659389496,2.385770559310913,1.6832547913303304,0.9748747921718797,0.29523569291122626
0.20000000298023224,400,4.000448611845486,gx_time@z_index,0.26279708091169596,-1.8967186212539673,8.217426520393106,0.8891330659389496,2.385770559310913,1.6832547913303304,0.9748747921718797,0.29523569291122626
0.20000000298023224,800,8.00019821117798,gx_time@project,0.26279708091169596,0.2621662701578735,0.002400371996652402,0.8891330659389496,1.0094714774586688,0.13534353420164225,0.9883178173233989,0.16231748892233477
0.20000000298023224,800,8.00019821117798,gx_time@project_late,0.26279708091169596,0.41818934700448235,0.5913013400061345,0.8891330659389496,0.9773463498828588,0.09921269079196098,0.9883178173233989,0.16231748892233477
0.20000000298023224,800,8.00019821117798,gx_time@svd,0.26279708091169596,0.2574905062004551,0.02019266992171784,0.8891330659389496,1.0069050905779422,0.1324571418504406,0.9883178173233989,0.16231748892233477
0.20000000298023224,800,8.00019821117798,gx_time@svd_late,0.26279708091169596,0.23978181429337006,0.08757809081623474,0.8891330659389496,0.9508315518861752,0.06939173483787858,0.9883178173233989,0.16231748892233477
0.20000000298023224,800,8.00019821117798,gx_time@max,0.26279708091169596,-0.6562161445617676,3.4970450291351094,0.8891330659389496,1.2399019002914429,0.39450656801529643,0.9883178173233989,0.16231748892233477
0.20000000298023224,800,8.00019821117798,gx_time@z_index,0.26279708091169596,-0.6562161445617676,3.4970450291351094,0.8891330659389496,1.2399019002914429,0.39450656801529643,0.9883178173233989,0.16231748892233477
