term,seconds,norm
field_solve,0.0006928917951881886,0.06516403704881668
build_H,0.003102599992416799,0.18825852870941162
streaming,0.00732739178929478,0.061223212629556656
linked_grad_z,0.006389216613024473,0.061223212629556656
mirror,0.0047080500051379206,0.0006389314658008516
curvature_gradb,0.002287858398631215,0.14345727860927582
diamagnetic,0.002927208412438631,0.0491844080388546
collisions,0.0032635334180668,0.0
hypercollisions,0.006203891802579164,0.0003832922666333616
linked_abs_kz,0.006177408387884498,0.0003832922666333616
hyperdiffusion,0.0028674999950453637,0.0022659695241600275
end_damping,0.00231309998780489,0.004815304186195135
full_linear_rhs,0.293220974993892,0.16460035741329193
