rank,label,parameter_name,action,response_fraction,fd_asymmetry_rel,gradient_uncertainty_rel,uncertainty_required_bracket_scale,locality_safe_bracket_scale_limit,bracket_only_feasible,current_replicates_per_state,estimated_required_replicates_at_locality_limit,estimated_extra_replicates_at_locality_limit
1,profile_direction_zbs_1_1_zbs_1_0_rbc_1_1:qa_ess_descent_profile_rel2_nonlinear_gradient_plus_delta_followup,profile_direction_zbs_1_1_zbs_1_0_rbc_1_1,shrink_or_replace_nonlocal_control,0.03600051585941988,2.8393191365904893,1.222374941849731,2.444749883699462,0.1672936282077785,False,3,20,17
2,profile_direction_zbs_1_1_zbs_1_0_rbc_1_1:qa_ess_descent_profile_rel2_nonlinear_gradient_profile_direction_zbs_1_1_zbs_1_0_rbc_1_1,profile_direction_zbs_1_1_zbs_1_0_rbc_1_1,shrink_or_replace_nonlocal_control,0.05166483779789478,1.3720803693826555,1.1281740821680801,2.2563481643361603,0.3461896333475846,False,3,17,14
3,rbc_1_1:qa_ess_profile_gradient_rbc_1_1_nonlinear_gradient_rbc_1_1,rbc_1_1,design_better_conditioned_control_or_variance_reduction,0.07223514648647757,0.4753536451990127,0.6831216320977453,1.3662432641954907,0.9992560376835553,False,5,11,6
4,zbs_1_0:qa_ess_profile_gradient_zbs_1_0_nonlinear_gradient_zbs_1_0,zbs_1_0,increase_checked_bracket_or_replace_control,0.004514913267128275,60.846994360928285,10.306621403667384,20.613242807334768,0.007806466120288959,False,3,1403,1400
5,zbs_1_1:qa_ess_profile_gradient_zbs_1_1_nonlinear_gradient_zbs_1_1,zbs_1_1,shrink_or_replace_nonlocal_control,0.09563236430182284,0.6048160550298892,0.3553072122357673,1.0,0.7853627496322433,False,3,3,0
6,rbc_1_1:qa_ess_rbc11_rel5_nonlinear_gradient_rbc_1_1,rbc_1_1,shrink_or_replace_nonlocal_control,0.1177175188295207,0.8967394893830681,0.4022549849200881,1.0,0.5296967576690381,False,3,3,0
7,rbc_1_1:qa_ess_rbc11_rel8_nonlinear_gradient_rbc_1_1,rbc_1_1,shrink_or_replace_nonlocal_control,0.09923000947114798,1.8946500665295756,0.5065121189058193,1.0130242378116385,0.2507059263297396,False,3,4,1
8,zbs_1_0:qa_ess_zbs10_rel5_nonlinear_gradient_zbs_1_0,zbs_1_0,add_limited_replicates_with_locality_cap,0.06847459658567508,0.2742545180757552,0.7676525476395432,1.5353050952790863,1.7319678207408582,False,3,4,1
9,zbs_1_0:qa_ess_zbs10_rel7p5_nonlinear_gradient_zbs_1_0,zbs_1_0,design_better_conditioned_control_or_variance_reduction,0.03191129318661172,0.04425885678078618,1.8061519699775055,3.612303939955011,10.732315169202671,False,4,26,22
10,zbs_1_1:qa_ess_zbs11_rel5_nonlinear_gradient_zbs_1_1,zbs_1_1,shrink_or_replace_nonlocal_control,0.1509753063627229,0.6626047254623365,0.2252601025502275,1.0,0.7168678123576101,False,3,3,0
11,state_control_rsin_mid_surface_m1:qa_lowres_alpha0p003_state_control_short_bracket_rsin_mid_surface_m1_nonlinear_gradient_state_control_rsin_mid_surface_m1,state_control_rsin_mid_surface_m1,increase_checked_bracket_or_replace_control,0.004159172848068613,0.6926208164606568,8.865820385545353,17.731640771090706,0.6858009299045975,False,3,1038,1035
12,state_control_zcos_mid_surface_m1:qa_lowres_alpha0p003_state_control_short_bracket_zcos_mid_surface_m1_nonlinear_gradient_state_control_zcos_mid_surface_m1,state_control_zcos_mid_surface_m1,increase_checked_bracket_or_replace_control,0.001247375411433147,85.16812394848048,28.96880860425934,57.93761720851868,0.005577203981707227,False,3,11078,11075
13,state_control_rsin_mid_surface_m1:qa_lowres_alpha0p010_state_control_short_bracket_rsin_mid_surface_m1_nonlinear_gradient_state_control_rsin_mid_surface_m1,state_control_rsin_mid_surface_m1,increase_checked_bracket_or_replace_control,0.004503396202871371,11.234771562572886,10.150197349817086,20.30039469963417,0.04227945333418241,False,3,1360,1357
14,state_control_zcos_mid_surface_m1:qa_lowres_alpha0p010_state_control_short_bracket_zcos_mid_surface_m1_nonlinear_gradient_state_control_zcos_mid_surface_m1,state_control_zcos_mid_surface_m1,increase_checked_bracket_or_replace_control,0.003726048769258922,28.19849781531051,9.652476970541581,19.304953941083163,0.016844868939865882,False,3,1230,1227
15,state_control_rsin_mid_surface_m1:qa_lowres_state_control_short_bracket_rsin_mid_surface_m1_nonlinear_gradient_state_control_rsin_mid_surface_m1,state_control_rsin_mid_surface_m1,increase_checked_bracket_or_replace_control,0.004490206847840755,9.507222362245884,7.7270919707486065,15.454183941497213,0.049962016444074324,False,3,789,786
16,state_control_zcos_mid_surface_m1:qa_lowres_state_control_short_bracket_zcos_mid_surface_m1_nonlinear_gradient_state_control_zcos_mid_surface_m1,state_control_zcos_mid_surface_m1,increase_checked_bracket_or_replace_control,0.001470106125831155,45.293137338133214,23.017144622374467,46.03428924474893,0.01048723996427794,False,3,6994,6991
