phase,kind,metric,quantity,value,max_ref,max_test,max_diff,rms_rel,source_path
startup,array,g_state,max_rel,1.332e-07,0.0006751,0.0006751,6e-11,7.303e-08,tools_out/exact_state_audit_w7x_20260424/w7x_vmec/startup.log
startup,array,phi,max_rel,7.362e-07,0.0005252,0.0005252,1.567e-10,1.218e-07,tools_out/exact_state_audit_w7x_20260424/w7x_vmec/startup.log
late arrays,array,kperp2,max_rel,7.082e-07,14.74,14.74,3.338e-06,9.822e-08,tools_out/exact_state_audit_w7x_20260424/w7x_vmec/diag_state.log
late arrays,array,fluxfac,max_rel,3.055e-07,0.0195,0.0195,5.588e-09,1.379e-07,tools_out/exact_state_audit_w7x_20260424/w7x_vmec/diag_state.log
late arrays,array,kx,max_rel,7.17e-08,2.28,2.28,1.192e-07,1.307e-08,tools_out/exact_state_audit_w7x_20260424/w7x_vmec/diag_state.log
late arrays,array,ky,max_rel,0.0,2.286,2.286,0.0,0.0,tools_out/exact_state_audit_w7x_20260424/w7x_vmec/diag_state.log
late arrays,array,phi,max_rel,4.619e-05,0.3701,0.3701,1.261e-07,3.77e-07,tools_out/exact_state_audit_w7x_20260424/w7x_vmec/diag_state.log
late arrays,array,apar,max_rel,,0.0,0.0,0.0,,tools_out/exact_state_audit_w7x_20260424/w7x_vmec/diag_state.log
late arrays,array,bpar,max_rel,,0.0,0.0,0.0,,tools_out/exact_state_audit_w7x_20260424/w7x_vmec/diag_state.log
late diagnostics,diagnostic,Wg,rel_dump,3.4100919973049195e-08,11.621777172200382,11.621777568513677,3.96313295070172e-07,,tools_out/exact_state_audit_w7x_20260424/w7x_vmec/diag_state.csv
late diagnostics,diagnostic,Wg,rel_solve,3.4100919973049195e-08,11.621777172200382,11.621777568513677,3.96313295070172e-07,,tools_out/exact_state_audit_w7x_20260424/w7x_vmec/diag_state.csv
late diagnostics,diagnostic,Wphi,rel_dump,1.0049297378662749e-07,0.0637014045041723,0.0637013981026288,6.401543503620211e-09,,tools_out/exact_state_audit_w7x_20260424/w7x_vmec/diag_state.csv
late diagnostics,diagnostic,Wphi,rel_solve,2.9142049551745946e-08,0.0637014045041723,0.0637014026477829,1.8563894033096773e-09,,tools_out/exact_state_audit_w7x_20260424/w7x_vmec/diag_state.csv
late diagnostics,diagnostic,Wapar,rel_dump,0.0,0.0,0.0,0.0,,tools_out/exact_state_audit_w7x_20260424/w7x_vmec/diag_state.csv
late diagnostics,diagnostic,Wapar,rel_solve,0.0,0.0,0.0,0.0,,tools_out/exact_state_audit_w7x_20260424/w7x_vmec/diag_state.csv
late diagnostics,diagnostic,heat,rel_dump,1.3952597606810634e-07,1.5811202245822642,1.5811204451896068,2.206073426158639e-07,,tools_out/exact_state_audit_w7x_20260424/w7x_vmec/diag_state.csv
late diagnostics,diagnostic,heat,rel_solve,1.776887257214169e-07,1.5811202245822642,1.581120505529502,2.8094723769633845e-07,,tools_out/exact_state_audit_w7x_20260424/w7x_vmec/diag_state.csv
late diagnostics,diagnostic,pflux,rel_dump,0.0,0.0,0.0,0.0,,tools_out/exact_state_audit_w7x_20260424/w7x_vmec/diag_state.csv
late diagnostics,diagnostic,pflux,rel_solve,0.0,0.0,0.0,0.0,,tools_out/exact_state_audit_w7x_20260424/w7x_vmec/diag_state.csv
